"name","github_remote","laptop_path","desktop_path","current_branch","risk","notes"
".01_Image Org","https://github.com/kas1987/Image-Prism.git","","C:\AI-DJ\01_ACTIVE_REPOS\.01_Image Org","feat/kind-flag-worker-stop-test-providers","LocalBranch","2 local-only branch(es): worktree-agent-abdf5b8ce943b9309, worktree-agent-ae8d58d1c01764a7d"
".04_Prism","https://github.com/kas1987/04-prism-LAP.git","","C:\AI-DJ\01_ACTIVE_REPOS\.04_Prism","preserve/laptop-20260531","LocalBranch","1 local-only branch(es): main"
".claude","https://github.com/kas1987/claude-config.git","C:\Users\kas41\.claude","C:\AI-DJ\01_ACTIVE_REPOS\.claude","session/token-efficiency","Dirty","5 uncommitted file(s); 67 local-only branch(es): linux, macos, session/2026-05-21-claude-md-patches-and-plugin-sync, session/2026-05-21-governance-and-router-config-federate, session/2026-05-21-headless-cron-and-custom-commands, session/2026-05-21-swarm-session-health-rpi-preflight, swarm/task-abc-wave-1779402162, swarm/task-abc-wave-1779402172, swarm/task-abc-wave-1779402180, swarm/task-abc-wave-1779402193, swarm/task-abc-wave-1779402216, swarm/task-abc-wave-1779873101, swarm/task-abc-wave-1779873286, swarm/task-abc-wave-1779873578, swarm/task-abc-wave-1779873760, swarm/task-abc-wave-1779873885, swarm/task-abc-wave-1779874308, swarm/task-abc-wave-1779874806, swarm/task-abc-wave-1779875724, swarm/task-abc-wave-1779875725, swarm/task-abc-wave-1779875901, swarm/task-abc-wave-1779877096, swarm/task-abc-wave-1779891129, swarm/task-abc-wave-1779891214, swarm/task-abc-wave-1779891529, swarm/task-abc-wave-1779891663, swarm/task-abc-wave-1779893130, swarm/task-abc-wave-1779922849, swarm/task-abc-wave-1779923583, swarm/task-abc-wave-1779974341, swarm/task-abc-wave-1779974780, swarm/task-abc-wave-1779975023, swarm/task-abc-wave-1779975137, swarm/task-abc-wave-1779975723, swarm/task-abc-wave-1779976021, swarm/task-abc-wave-1779982421, swarm/task-abc-wave-1780183091, swarm/task-abc-wave-1780184151, swarm/task-xyz-wave-1779402163, swarm/task-xyz-wave-1779402193, swarm/task-xyz-wave-1779402217, swarm/task-xyz-wave-1779873102, swarm/task-xyz-wave-1779873287, swarm/task-xyz-wave-1779873580, swarm/task-xyz-wave-1779873761, swarm/task-xyz-wave-1779873886, swarm/task-xyz-wave-1779874309, swarm/task-xyz-wave-1779874808, swarm/task-xyz-wave-1779875726, swarm/task-xyz-wave-1779875902, swarm/task-xyz-wave-1779877097, swarm/task-xyz-wave-1779891130, swarm/task-xyz-wave-1779891215, swarm/task-xyz-wave-1779891536, swarm/task-xyz-wave-1779891665, swarm/task-xyz-wave-1779893132, swarm/task-xyz-wave-1779922850, swarm/task-xyz-wave-1779923584, swarm/task-xyz-wave-1779974343, swarm/task-xyz-wave-1779974781, swarm/task-xyz-wave-1779975024, swarm/task-xyz-wave-1779975138, swarm/task-xyz-wave-1779975724, swarm/task-xyz-wave-1779976023, swarm/task-xyz-wave-1779982424, swarm/task-xyz-wave-1780183096, swarm/task-xyz-wave-1780184154"
"plugin","https://github.com/nyldn/claude-octopus","C:\Users\kas41\.claude-octopus\plugin","C:\AI-DJ\01_ACTIVE_REPOS\plugin","main","Ahead","2 commit(s) not pushed"
"plugins","https://github.com/openai/plugins.git","C:\Users\kas41\.codex\.tmp\plugins","C:\AI-DJ\01_ACTIVE_REPOS\plugins","main","Dirty","1 uncommitted file(s)"
"skills","https://github.com/openai/skills.git","C:\Users\kas41\.codex\vendor_imports\skills","C:\AI-DJ\01_ACTIVE_REPOS\skills","main","Dirty","1 uncommitted file(s)"
".oh-my-bash","https://github.com/ohmybash/oh-my-bash.git","C:\Users\kas41\.oh-my-bash","C:\AI-DJ\01_ACTIVE_REPOS\.oh-my-bash","master","Dirty","1 uncommitted file(s)"
"skills","https://github.com/kas1987/claude-skills.git","C:\Users\kas41\.pi\agent\skills","C:\AI-DJ\01_ACTIVE_REPOS\skills","preserve/laptop-20260531","Clean",""
".pyenv","","C:\Users\kas41\.pyenv","C:\AI-DJ\01_ACTIVE_REPOS\.pyenv","(detached)","Detached","HEAD is detached â€” snapshot state, verify before wipe"
"zelexdoll-theme","","C:\Users\kas41\archived\zelexdoll-theme","C:\AI-DJ\01_ACTIVE_REPOS\zelexdoll-theme","master","LocalOnly","No remote â€” work will be lost on rebuild; 1 local-only branch(es): master"
"Chromatic_Wiki","https://github.com/kas1987/chromatic-wiki.git","C:\Users\kas41\Chromatic_Wiki","C:\AI-DJ\01_ACTIVE_REPOS\Chromatic_Wiki","session/wiki-v0-1-initial","Clean",""
"chromatic-design-studios","https://github.com/kas1987/chromatic-design-studios.git","C:\Users\kas41\chromatic-design-studios","C:\AI-DJ\01_ACTIVE_REPOS\chromatic-design-studios","master","Clean",""
"chromatic-harness-v2","https://github.com/kas1987/chromatic-harness-v2.git","C:\Users\kas41\chromatic-harness-v2","C:\AI-DJ\01_ACTIVE_REPOS\chromatic-harness-v2","epic/4nk5.4-inventory-stale-desktop-repos","Dirty","15 uncommitted file(s); 2 local-only branch(es): epic/4nk5.4-inventory-stale-desktop-repos, session/auto-mode-governance-20260530"
"chromatic-stack","https://github.com/kas1987/chromatic-stack.git","C:\Users\kas41\chromatic-stack","C:\AI-DJ\01_ACTIVE_REPOS\chromatic-stack","preserve/laptop-20260531","LocalBranch","1 local-only branch(es): master"
"chromatic-wiki","https://github.com/kas1987/chromatic-wiki.git","C:\Users\kas41\chromatic-wiki","C:\AI-DJ\01_ACTIVE_REPOS\chromatic-wiki","learnings/auto-promote-20260531-182846","LocalBranch","1 local-only branch(es): learnings/auto-promote-20260531-182846"
"claude-powerline","https://github.com/Owloops/claude-powerline.git","C:\Users\kas41\claude-powerline","C:\AI-DJ\01_ACTIVE_REPOS\claude-powerline","kas41/context-thresholds","LocalBranch","1 local-only branch(es): kas41/context-thresholds"
"fusion-computer","https://github.com/kas1987/fusion-computer.git","C:\Users\kas41\fusion-computer","C:\AI-DJ\01_ACTIVE_REPOS\fusion-computer","session/2026-05-28-harness-v2","Clean",""
